Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
6/6/18,0.34,,,6/6/18,6/6/18
5/29/18,0.09,,,5/29/18,5/29/18
5/29/18,1.8,Website Registrations Completed,2,5/29/18,5/29/18
5/28/18,0.15,,,5/28/18,5/28/18
5/28/18,2.79,,,5/28/18,5/28/18
5/27/18,0.08,,,5/27/18,5/27/18
5/27/18,2.92,Website Registrations Completed,1,5/27/18,5/27/18
5/26/18,0.15,,,5/26/18,5/26/18
5/26/18,2.84,Website Registrations Completed,2,5/26/18,5/26/18
5/25/18,0.14,Website Registrations Completed,1,5/25/18,5/25/18
5/25/18,2.84,Website Registrations Completed,2,5/25/18,5/25/18
5/24/18,0.31,,,5/24/18,5/24/18
5/24/18,4.24,Website Registrations Completed,1,5/24/18,5/24/18
5/23/18,0.61,,,5/23/18,5/23/18
5/23/18,0.02,,,5/23/18,5/23/18
11/11/17,0.64,,,11/11/17,11/11/17
11/11/17,10.12,Website Registrations Completed,1,11/11/17,11/11/17
11/10/17,0.62,,,11/10/17,11/10/17
11/10/17,12.23,Website Registrations Completed,3,11/10/17,11/10/17
11/9/17,0.888130252,,,11/9/17,11/9/17
11/9/17,13.36186975,Website Registrations Completed,3,11/9/17,11/9/17
11/8/17,10.42866016,,,11/8/17,11/8/17
11/8/17,145.2413398,Website Registrations Completed,12,11/8/17,11/8/17
11/7/17,13.93,Website Registrations Completed,3,11/7/17,11/7/17
11/7/17,0.9,Website Registrations Completed,1,11/7/17,11/7/17
11/6/17,14.27,Website Registrations Completed,2,11/6/17,11/6/17
11/6/17,0.91,,,11/6/17,11/6/17
11/5/17,14.91,Website Registrations Completed,3,11/5/17,11/5/17
11/5/17,0.8,,,11/5/17,11/5/17
11/4/17,1.07,Website Registrations Completed,1,11/4/17,11/4/17
11/4/17,14.05,Website Registrations Completed,4,11/4/17,11/4/17
11/3/17,2.668008454,Website Registrations Completed,1,11/3/17,11/3/17
